"","R_viento","R_Humedad","R_lluvia","R_radiacion.solar","R_temperatura.enero","R_temperatura.julio","R_HC","R_NO2","R_CO","R_NO","R_NO","R_particulas"
"1","vie3[7.5a8.5]","Hum4[56.5a61.5]","llu1[32a35.5]","rad5[107a107]","tem2[30.5a32.5]","tem2[68.5a73.5]","HC3[63.5a67.5]","NO23[30.5a32.5]","CO3[8.5a9.5]","NO4[4.5a7.5]","NO2[2a7.5]","par2[64.5a93.5]"
"2","vie2[6.5a7.5]","Hum4[56.5a61.5]","llu4[39.5a42]","rad5[107a107]","tem4[34.5a36.5]","tem2[68.5a73.5]","HC4[67.5a71.5]","NO24[32.5a34.5]","CO4[9.5a10.5]","NO4[4.5a7.5]","NO2[2a7.5]","par3[111a111]"
"3","vie2[6.5a7.5]","Hum4[56.5a61.5]","llu3[37.5a39.5]","rad5[107a107]","tem3[32.5a34.5]","tem3[73.5a77.5]","HC4[67.5a71.5]","NO24[32.5a34.5]","CO4[9.5a10.5]","NO4[4.5a7.5]","NO2[2a7.5]","par3[111a111]"
"4","vie5[10a10]","Hum4[56.5a61.5]","llu3[37.5a39.5]","rad4[77.5a94.5]","tem4[34.5a36.5]","tem4[77.5a81.5]","HC4[67.5a71.5]","NO24[32.5a34.5]","CO4[9.5a10.5]","NO4[4.5a7.5]","NO2[2a7.5]","par3[111a111]"
"5","vie1[5a6.5]","Hum5[65a65]","llu5[45a45]","rad4[77.5a94.5]","tem5[40a40]","tem3[73.5a77.5]","HC5[80a80]","NO25[38a38]","CO5[11.8a11.8]","NO4[4.5a7.5]","NO2[2a7.5]","par3[111a111]"
"6","vie3[7.5a8.5]","Hum2[43a52.5]","llu4[39.5a42]","rad4[77.5a94.5]","tem5[40a40]","tem4[77.5a81.5]","HC5[80a80]","NO25[38a38]","CO4[9.5a10.5]","NO4[4.5a7.5]","NO2[2a7.5]","par3[111a111]"
"7","vie4[8.5a9.5]","Hum3[52.5a56.5]","llu2[35.5a37.5]","rad4[77.5a94.5]","tem3[32.5a34.5]","tem3[73.5a77.5]","HC3[63.5a67.5]","NO23[30.5a32.5]","CO3[8.5a9.5]","NO4[4.5a7.5]","NO2[2a7.5]","par2[64.5a93.5]"
"8","vie1[5a6.5]","Hum3[52.5a56.5]","llu2[35.5a37.5]","rad3[63a77.5]","tem2[30.5a32.5]","tem2[68.5a73.5]","HC3[63.5a67.5]","NO21[17a23.5]","CO3[8.5a9.5]","NO1[-0.1a2]","NO1[1a2]","par2[64.5a93.5]"
"9","vie2[6.5a7.5]","Hum4[56.5a61.5]","llu4[39.5a42]","rad4[77.5a94.5]","tem4[34.5a36.5]","tem2[68.5a73.5]","HC1[30a46]","NO21[17a23.5]","CO1[4.2a6.5]","NO2[2a3.5]","NO2[2a7.5]","par1[50a64.5]"
"10","vie3[7.5a8.5]","Hum3[52.5a56.5]","llu2[35.5a37.5]","rad3[63a77.5]","tem3[32.5a34.5]","tem2[68.5a73.5]","HC3[63.5a67.5]","NO23[30.5a32.5]","CO3[8.5a9.5]","NO4[4.5a7.5]","NO2[2a7.5]","par2[64.5a93.5]"
"11","vie1[5a6.5]","Hum4[56.5a61.5]","llu4[39.5a42]","rad3[63a77.5]","tem4[34.5a36.5]","tem4[77.5a81.5]","HC5[80a80]","NO25[38a38]","CO4[9.5a10.5]","NO4[4.5a7.5]","NO2[2a7.5]","par3[111a111]"
"12","vie1[5a6.5]","Hum4[56.5a61.5]","llu4[39.5a42]","rad4[77.5a94.5]","tem5[40a40]","tem3[73.5a77.5]","HC5[80a80]","NO25[38a38]","CO4[9.5a10.5]","NO4[4.5a7.5]","NO2[2a7.5]","par3[111a111]"
"13","vie2[6.5a7.5]","Hum4[56.5a61.5]","llu3[37.5a39.5]","rad3[63a77.5]","tem4[34.5a36.5]","tem3[73.5a77.5]","HC4[67.5a71.5]","NO24[32.5a34.5]","CO4[9.5a10.5]","NO4[4.5a7.5]","NO2[2a7.5]","par3[111a111]"
"14","vie5[10a10]","Hum4[56.5a61.5]","llu3[37.5a39.5]","rad3[63a77.5]","tem4[34.5a36.5]","tem2[68.5a73.5]","HC4[67.5a71.5]","NO24[32.5a34.5]","CO4[9.5a10.5]","NO4[4.5a7.5]","NO2[2a7.5]","par3[111a111]"
